Page,Job_title,Company,Location,Search_eng,Term,URL
0,Full Stack .Net Developer - Permanent OR Contract,1iCT Pty Ltd,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35492378?type=standard&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-2915762
3,DATA WAREHOUSE DESIGNER,AA Appointments Brisbane,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35409951?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-2989733
1,"DEVELOPER POSITION, Brisbane",ACIL Allen Consulting Pty Ltd,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35327786?type=promoted&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-2916629
2,Principal Engineer - National Planning,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=cj20swhecx&lang=en&k=software+engineering
1,Landscape Architect,AILA,Queensland,Neuvoo,part time developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=part+time+developer
2,UX/UI Lead | Front End Web Developer,APNIC,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35271770?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-2988940
2,Microsoft Exchange Engineer / Admin,ASG Group Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35462346?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-2859723
1,Survey Drafter/ Cadet/ Graduate (CAD),Acworth Recruitment,CBD & Inner Suburbs,SEEK,developer,https://www.seek.com.au//job/35481451?type=standout&userqueryid=e907361bbd2f1cd85fa93bb4a24fb26d-2916629
4,Automation Developer,Adaps,Brisbane QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9c2b26c33f4d4904&fccid=ad7d1489eb2ecef6
3,Web Developer,Adcorp Australia Limited,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35421630?type=standard&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-2989733
0,Python Developer,Ajilon,,SEEK,python,https://www.seek.com.au//job/35474619?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-2948188
1,Data Scientists x 2,Ajilon,CBD & Inner Suburbs,SEEK,python,https://www.seek.com.au//job/35450958?type=standout&userqueryid=8a9e9534f4e8f5f6bd15933dd955d215-2949038
3,SEO Digital Specialist,Allianz Worldwide Partners,CBD & Inner Suburbs,SEEK,part time developer,https://www.seek.com.au//job/35413961?type=standout&userqueryid=a15640fd2308c82dd13dfea98ffcc24b-2989733
0,Integration/DevOps,Ambition,Brisbane Central Business District QLD,Indeed,python,https://au.indeed.com//rc/clk?jk=9bbe167a78fdb418&fccid=c9cd3dc1c74035d6&vjs=3
