Page,Job_title,Company,Location,Search_eng,Term,URL,Words_of_concern
1,FCL Customer Service Officer,ACFS Port Logistics,Northern Suburbs,SEEK,data entry,https://www.seek.com.au//job/35486582?type=standard&userqueryid=51d99ad87401f20b35f5af6827d01957-5537157,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
1,Administration Assistant,AE Smith,,SEEK,junior,https://www.seek.com.au//job/35497739?type=standard&userqueryid=134bb52b5effc656840f0e786449420e-5592670,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
2,Principal Engineer - National Planning,AEMO,"Brisbane, Queensland",Neuvoo,junior,https://au.neuvoo.com/job.php?id=cj20swhecx&lang=en&k=junior,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
3,Part Time Office Assistant Traineeship,AFL SportsReady Pty Ltd,CBD & Inner Suburbs,SEEK,junior,https://www.seek.com.au//job/35487333?type=standard&userqueryid=134bb52b5effc656840f0e786449420e-5594271,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
0,Room Attendants - Brisbane CBD,AHS Hospitality,CBD & Inner Suburbs,SEEK,part time,https://www.seek.com.au//job/35265327?type=standard&userqueryid=2b6a4958796661b9ffa03c5af90e9814-5505901,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
2,Bar / Barista / Cocktail Bar Person at Stones Corner Hotel,ALH Group - Stones Corner Hotel,CBD & Inner Suburbs,SEEK,barista,https://www.seek.com.au//job/35366871?type=standard&userqueryid=e6bbb2a90bc335939ce8c3a0e19ee133-5567652,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
1,Junior Retail Valuer,ALRA,"Brisbane, Queensland",Neuvoo,junior,https://au.neuvoo.com/job.php?id=73tjeic82e&lang=en&k=junior,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
1,Law Clerk/Junior Solicitor - Legal Costings,APT,Brisbane Central Business District QLD,Indeed,junior,https://au.indeed.com//rc/clk?jk=10564853a7c77198&fccid=dc1ce82e7345576f&vjs=3,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
1,Manufacturing Administration Coordinator,ATCO Structures and Logistics,Brisbane QLD,Indeed,data entry,https://au.indeed.com//company/ATCO-Structures-and-Logistics/jobs/Manufacturing-Administration-Coordinator-c6d747177352932b?fccid=0f8dbff981960fab,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
2,Volunteer Officer,Access Community Services Limited,Southern Suburbs & Logan,SEEK,data entry,https://www.seek.com.au//job/35485920?type=standout&userqueryid=51d99ad87401f20b35f5af6827d01957-5538440,*Error unsupported operand type(s) for /: 'int' and 'NoneType'
