Page,Job_title,Company,Location,Search_eng,Term,URL
5,Developer,ABCis,CBD & Inner Suburbs,SEEK,programmer,https://www.seek.com.au//job/35513368?type=standard&userqueryid=955cbf4ff5728a6628c6603cbb7b0648-2242139
3,QUALITY OFFICER,ACE,CBD & Inner Suburbs,SEEK,data analyst,https://www.seek.com.au//job/35344077?type=standard&userqueryid=20ba340a05071ad6b7cd067a43c7c964-2319669
4,Operational Forecasting Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=jvd7jqhpia&lang=en&k=data+analyst
5,Grid Systems Engineer,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=x9jq7k9bse&lang=en&k=software+engineering
2,Commercial Analyst,AEMO,"Brisbane, Queensland",Neuvoo,data analyst,https://au.neuvoo.com/job.php?id=pswtbjst2b&lang=en&k=data+analyst
3,Landscape Architect,AILA,Queensland,Neuvoo,developer,https://au.neuvoo.com/job.php?id=m2d7nqebbr&lang=en&k=developer
2,Aircraft Structures Design Engineer,AIRBUS,"Brisbane, Queensland",Neuvoo,junior software engineering,https://au.neuvoo.com/job.php?id=x0anvk74ct&lang=en&k=junior+software+engineering
2,Full Stack Developer,ALS Limited,"Brisbane, Queensland",Neuvoo,developer,https://au.neuvoo.com/job.php?id=49ihv30xty&lang=en&k=developer
4,Mining Engineer - Open PitPrincipal Mining Engineer - Open Pit,AMC Consultants Pty Ltd.,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=gywzaa6xtx&lang=en&k=software+engineering
3,Civil Pipeline Lead,APA Group,"Spring Hill, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=j35zmex9wn&lang=en&k=software+engineering
0,Software Engineer x2,APNIC,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35565595?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-2204123
