Page,Job_title,Company,Location,Search_eng,Term,URL,New_job
5,Grid Systems Engineer,AEMO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=x9jq7k9bse&lang=en&k=software+engineering,*new!
3,Mining Engineer - Open PitPrincipal Mining Engineer - Open Pit,AMC Consultants Pty Ltd.,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=gywzaa6xtx&lang=en&k=software+engineering,
4,Civil Pipeline Lead,APA Group,"Spring Hill, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=j35zmex9wn&lang=en&k=software+engineering,
0,Software Engineer x2,APNIC,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35565595?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new!
5,Microsoft Exchange Engineer / Admin,ASG Group Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35462346?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
3,Project Engineer,Adelaide Brighton Ltd,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=xn4ctg66uz&lang=en&k=software+engineering,
1,ARH Software Engineer,Airbus Group Australia Pacific,Brisbane Airport QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=495ed81862643920&fccid=bc2d8021313233ce&vjs=3,
2,ARH Software Engineer,Airbus Group Australia Pacific Limited,,SEEK,software engineering,https://www.seek.com.au//job/35501495?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
1,ARH Software Engineer,Airbus Groups,"Brisbane Airport, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=d6kvdjuwns&lang=en&k=software+engineering,
1,Python Developer- Brisbane CBD,Ambition Technology,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35547227?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
3,SOFTWARE ENGINEER,Ansaldo,Eagle Farm QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=ebe4320fdd38ee19&fccid=371f5c6e912b30d4,
5,SOFTWARE ENGINEER,Ansaldo STS,"Eagle Farm, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=3u7j2j4gwc&lang=en&k=software+engineering,
